timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494165,0.252938,0.043500,-0.116821,2.527423,0.430101,0.999736,0.000007,-0.000035,0.022997
0.200000,5.476671,0.505340,0.085675,-0.233145,2.519602,0.410535,0.998942,0.000034,-0.000028,0.045980
0.300000,5.447557,0.756666,0.125236,-0.349102,2.506314,0.378188,0.997621,0.000037,-0.000062,0.068940
0.400000,5.406914,1.006435,0.160995,-0.463641,2.488144,0.334783,0.995771,0.000061,-0.000053,0.091874
0.500000,5.354841,1.254112,0.191878,-0.577310,2.464528,0.281127,0.993393,0.000090,-0.000033,0.114760
0.600000,5.291456,1.499160,0.216954,-0.689967,2.435619,0.218821,0.990491,0.000086,-0.000033,0.137580
0.700000,5.216872,1.741073,0.235439,-0.801030,2.401650,0.149849,0.987067,0.000109,-0.000016,0.160308
0.800000,5.131237,1.979308,0.246754,-0.911307,2.361992,0.075898,0.983118,0.000104,-0.000028,0.182970
0.900000,5.034739,2.213351,0.250555,-1.018091,2.317711,-0.000015,0.978651,0.000119,-0.000016,0.205528
1.000000,4.927641,2.442700,0.246724,-1.123430,2.268459,-0.076166,0.973665,0.000126,-0.000007,0.227984
1.100000,4.810137,2.666900,0.235386,-1.225734,2.214386,-0.149511,0.968166,0.000133,-0.000006,0.250309
1.200000,4.682499,2.885480,0.216919,-1.326082,2.156206,-0.218553,0.962151,0.000129,0.000014,0.272518
1.300000,4.544970,3.097958,0.191862,-1.423301,2.092579,-0.280542,0.955622,0.000119,0.000015,0.294597
1.400000,4.397857,3.303886,0.160993,-1.517960,2.024753,-0.334606,0.948598,0.000127,0.000030,0.316483
1.500000,4.241452,3.502806,0.125221,-1.609429,1.952487,-0.378098,0.941069,0.000107,0.000019,0.338214
1.600000,4.076049,3.694285,0.085643,-1.697447,1.876031,-0.410408,0.933037,0.000120,0.000029,0.359780
1.700000,3.902044,3.877892,0.043476,-1.781645,1.795200,-0.430156,0.924511,0.000123,0.000016,0.381154
1.800000,3.719828,4.053245,-0.000052,-1.861821,1.710802,-0.437073,0.915499,0.000139,0.000000,0.402320
1.900000,3.529726,4.219982,-0.043644,-1.939149,1.623392,-0.431397,0.905997,0.000126,-0.000003,0.423284
2.000000,3.332141,4.377781,-0.085929,-2.011861,1.532050,-0.411464,0.896005,0.000123,-0.000039,0.444044
2.100000,3.127486,4.526302,-0.125625,-2.080729,1.437802,-0.379566,0.885552,0.000137,-0.000068,0.464540
2.200000,2.916133,4.665202,-0.161517,-2.144927,1.340304,-0.335586,0.874623,0.000146,-0.000110,0.484803
2.300000,2.698593,4.794199,-0.192455,-2.205172,1.240668,-0.281004,0.863240,0.000154,-0.000151,0.504794
2.400000,2.475274,4.913121,-0.217519,-2.260284,1.138692,-0.218492,0.851397,0.000197,-0.000161,0.524521
2.500000,2.246672,5.021720,-0.235945,-2.310606,1.034243,-0.148419,0.839113,0.000223,-0.000214,0.543957
2.600000,2.013281,5.119782,-0.247125,-2.356005,0.927701,-0.074343,0.826394,0.000205,-0.000241,0.563092
2.700000,1.775557,5.207110,-0.250779,-2.396865,0.819305,0.001415,0.813230,0.000192,-0.000275,0.581942
2.800000,1.534039,5.283516,-0.246792,-2.431862,0.708607,0.078104,0.799664,0.000185,-0.000320,0.600447
2.900000,1.289272,5.348776,-0.235311,-2.461169,0.596020,0.150821,0.785667,0.000183,-0.000367,0.618650
3.000000,1.041839,5.402729,-0.216731,-2.485308,0.481710,0.219150,0.771261,0.000184,-0.000404,0.636519
3.100000,0.792252,5.445154,-0.191561,-2.503911,0.365835,0.281988,0.756444,0.000214,-0.000422,0.654058
3.200000,0.541090,5.475961,-0.160512,-2.517024,0.249871,0.336176,0.741220,0.000230,-0.000375,0.671262
3.300000,0.288927,5.495094,-0.124575,-2.524766,0.133038,0.379705,0.725599,0.000246,-0.000320,0.688118
3.400000,0.036226,5.502514,-0.084844,-2.527981,0.015868,0.411611,0.709584,0.000307,-0.000251,0.704620
3.500000,-0.216492,5.498211,-0.042546,-2.526294,-0.100758,0.431257,0.693192,0.000354,-0.000190,0.720753
3.600000,-0.468736,5.482308,0.001052,-2.518936,-0.216283,0.437363,0.676429,0.000388,-0.000101,0.736507
3.700000,-0.719978,5.454881,0.044626,-2.506517,-0.331420,0.430557,0.659310,0.000438,-0.000020,0.751872
3.800000,-0.969731,5.415939,0.086849,-2.489175,-0.446278,0.410811,0.641832,0.000480,0.000055,0.766845
3.900000,-1.217546,5.365625,0.126466,-2.467151,-0.559267,0.378724,0.624031,0.000557,0.000141,0.781399
4.000000,-1.462826,5.304075,0.162235,-2.438784,-0.671552,0.334440,0.605913,0.000623,0.000218,0.795530
4.100000,-1.705047,5.231344,0.193078,-2.405401,-0.783166,0.279911,0.587473,0.000684,0.000295,0.809244
4.200000,-1.943665,5.147549,0.218016,-2.366861,-0.892792,0.217246,0.568716,0.000735,0.000382,0.822533
4.300000,-2.178172,5.052852,0.236343,-2.323497,-1.001087,0.147359,0.549644,0.000790,0.000427,0.835399
4.400000,-2.408072,4.947440,0.247436,-2.274860,-1.106792,0.073712,0.530297,0.000830,0.000463,0.847812
4.500000,-2.632848,4.831550,0.251015,-2.221126,-1.210550,-0.002587,0.510641,0.000893,0.000465,0.859793
4.600000,-2.852027,4.705427,0.246937,-2.163092,-1.311215,-0.078833,0.490741,0.000946,0.000490,0.871305
4.700000,-3.065179,4.569361,0.235312,-2.100627,-1.408918,-0.152778,0.470564,0.001013,0.000533,0.882365
4.800000,-3.271833,4.423664,0.216515,-2.033477,-1.503765,-0.221819,0.450152,0.001062,0.000523,0.892951
4.900000,-3.471554,4.268662,0.191077,-1.961828,-1.595370,-0.284914,0.429472,0.001121,0.000520,0.903079
5.000000,-3.663942,4.104650,0.159795,-1.886904,-1.683725,-0.338753,0.408580,0.001201,0.000481,0.912722
5.100000,-3.848565,3.931975,0.123593,-1.806846,-1.768910,-0.382438,0.387467,0.001299,0.000441,0.921883
5.200000,-4.025042,3.750999,0.083614,-1.724745,-1.849768,-0.414132,0.366122,0.001393,0.000399,0.930566
5.300000,-4.193069,3.562119,0.041055,-1.638164,-1.926863,-0.433385,0.344602,0.001489,0.000366,0.938748
5.400000,-4.352311,3.365700,-0.002788,-1.548824,-2.000499,-0.439982,0.322902,0.001601,0.000339,0.946431
5.500000,-4.502423,3.162124,-0.046587,-1.455816,-2.069702,-0.432266,0.301041,0.001709,0.000331,0.953610
5.600000,-4.643052,2.951829,-0.088968,-1.359251,-2.134763,-0.411591,0.279023,0.001848,0.000339,0.960283
5.700000,-4.773911,2.735240,-0.128657,-1.260198,-2.195297,-0.378694,0.256877,0.001979,0.000314,0.966442
5.800000,-4.894697,2.512856,-0.164476,-1.157940,-2.250642,-0.334395,0.234606,0.002114,0.000288,0.972088
5.900000,-5.005135,2.285167,-0.195305,-1.053650,-2.301782,-0.279320,0.212179,0.002259,0.000268,0.977228
6.000000,-5.104986,2.052629,-0.220164,-0.946536,-2.347627,-0.215564,0.189653,0.002396,0.000198,0.981848
6.100000,-5.194031,1.815727,-0.238328,-0.837054,-2.389043,-0.145975,0.167043,0.002484,0.000094,0.985946
6.200000,-5.272036,1.574946,-0.249251,-0.726080,-2.425213,-0.071542,0.144340,0.002612,-0.000009,0.989525
6.300000,-5.338829,1.330786,-0.252621,-0.612823,-2.456112,0.004491,0.121581,0.002685,-0.000116,0.992578
6.400000,-5.394220,1.083768,-0.248351,-0.498209,-2.481932,0.080846,0.098730,0.002729,-0.000215,0.995110
6.500000,-5.438084,0.834481,-0.236557,-0.382572,-2.501775,0.154611,0.075843,0.002738,-0.000330,0.997116
6.600000,-5.470335,0.583452,-0.217578,-0.266114,-2.516620,0.223722,0.052911,0.002767,-0.000449,0.998595
6.700000,-5.490929,0.331202,-0.192011,-0.149492,-2.526163,0.285917,0.029935,0.002735,-0.000538,0.999548
6.800000,-5.499865,0.078254,-0.160656,-0.033017,-2.530194,0.339444,0.006926,0.002649,-0.000650,0.999972
6.900000,-5.497161,-0.174879,-0.124398,0.083439,-2.529777,0.382936,0.016069,-0.002542,0.000739,-0.999867
7.000000,-5.482827,-0.427626,-0.084410,0.199636,-2.522592,0.413900,0.039082,-0.002419,0.000812,-0.999233
7.100000,-5.456911,-0.679469,-0.041932,0.314917,-2.511301,0.432417,0.062061,-0.002291,0.000852,-0.998069
7.200000,-5.419541,-0.929847,0.001737,0.429225,-2.493489,0.437595,0.085007,-0.002136,0.000915,-0.996378
7.300000,-5.370818,-1.178184,0.045278,0.542548,-2.470589,0.430248,0.107890,-0.001969,0.000943,-0.994160
7.400000,-5.310804,-1.423947,0.087407,0.655248,-2.442309,0.408978,0.130742,-0.001776,0.000987,-0.991414
7.500000,-5.239641,-1.666658,0.126789,0.766414,-2.409343,0.375846,0.153531,-0.001604,0.001029,-0.988142
7.600000,-5.157434,-1.905798,0.162239,0.876296,-2.371124,0.330575,0.176252,-0.001411,0.001040,-0.984343
7.700000,-5.064317,-2.140895,0.192670,0.984417,-2.328407,0.275781,0.198857,-0.001217,0.001044,-0.980027
7.800000,-4.960509,-2.371426,0.217177,1.090404,-2.280032,0.212827,0.221366,-0.001030,0.001031,-0.975190
7.900000,-4.846238,-2.596902,0.235044,1.193848,-2.227527,0.143333,0.243746,-0.000858,0.001036,-0.969838
8.000000,-4.721725,-2.816854,0.245696,1.295384,-2.169795,0.069064,0.265989,-0.000696,0.001016,-0.963975
8.100000,-4.587229,-3.030827,0.248778,1.393590,-2.107691,-0.007563,0.288104,-0.000541,0.001022,-0.957599
8.200000,-4.443030,-3.238429,0.244197,1.489124,-2.041831,-0.083812,0.310064,-0.000403,0.001017,-0.950715
8.300000,-4.289445,-3.439169,0.232098,1.581155,-1.970817,-0.157093,0.331853,-0.000301,0.000997,-0.943330
8.400000,-4.126832,-3.632588,0.212885,1.670016,-1.895599,-0.226082,0.353480,-0.000177,0.001008,-0.935442
8.500000,-3.955502,-3.818265,0.187104,1.755510,-1.816276,-0.288049,0.374921,-0.000100,0.001019,-0.927056
8.600000,-3.775812,-3.995867,0.155548,1.837028,-1.733850,-0.341054,0.396134,-0.000010,0.001007,-0.918192
8.700000,-3.588161,-4.165047,0.119179,1.915345,-1.647732,-0.384268,0.417166,0.000047,0.001045,-0.908830
8.800000,-3.392860,-4.325451,0.079059,1.990105,-1.558502,-0.415657,0.437946,0.000113,0.001057,-0.899001
8.900000,-3.190280,-4.476737,0.036434,2.060351,-1.465042,-0.434342,0.458511,0.000145,0.001093,-0.888688
9.000000,-2.980876,-4.618527,-0.007429,2.126188,-1.368806,-0.440511,0.478822,0.000184,0.001130,-0.877911
9.100000,-2.765142,-4.750560,-0.051223,2.187206,-1.269519,-0.432829,0.498875,0.000197,0.001144,-0.866673
9.200000,-2.543527,-4.872495,-0.093554,2.243470,-1.166943,-0.411335,0.518642,0.000225,0.001158,-0.854991
9.300000,-2.316490,-4.984101,-0.133163,2.295887,-1.062879,-0.378113,0.538155,0.000239,0.001138,-0.842845
9.400000,-2.084450,-5.085146,-0.168849,2.343048,-0.956155,-0.333403,0.557370,0.000244,0.001106,-0.830263
9.500000,-1.847997,-5.175425,-0.199551,2.384696,-0.847453,-0.278998,0.576306,0.000253,0.001085,-0.817233
9.600000,-1.607627,-5.254691,-0.224348,2.420964,-0.736798,-0.215383,0.594936,0.000230,0.001057,-0.803772
