timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494475,0.252845,0.043675,-0.110854,2.526449,0.433161,0.999751,-0.000428,-0.000402,0.022297
0.200000,5.477764,0.505089,0.086072,-0.223836,2.517145,0.412930,0.998952,-0.000644,0.000005,0.045767
0.300000,5.449678,0.756085,0.125813,-0.338274,2.502202,0.379664,0.997629,-0.000560,-0.000026,0.068821
0.400000,5.410062,1.005348,0.161622,-0.453954,2.482285,0.334965,0.995745,-0.000288,0.000246,0.092150
0.500000,5.358864,1.252379,0.192542,-0.569866,2.457887,0.281524,0.993345,0.000140,0.000170,0.115176
0.600000,5.296084,1.496729,0.217641,-0.685065,2.428512,0.219640,0.990408,0.000110,0.000461,0.138176
0.700000,5.221886,1.737945,0.236213,-0.798813,2.394891,0.150705,0.986954,0.000199,0.000289,0.161001
0.800000,5.136382,1.975583,0.247635,-0.911010,2.357321,0.077142,0.983019,0.000058,0.000481,0.183502
0.900000,5.039807,2.209251,0.251565,-1.019967,2.314979,0.001058,0.978541,0.000252,0.000332,0.206052
1.000000,4.932507,2.438429,0.247787,-1.125309,2.267881,-0.075938,0.973586,0.000314,0.000476,0.228321
1.100000,4.814846,2.662585,0.236433,-1.227345,2.214362,-0.150372,0.968064,0.000438,0.000388,0.250704
1.200000,4.687086,2.881146,0.217832,-1.327808,2.155840,-0.220403,0.962109,0.000521,0.000471,0.272665
1.300000,4.549361,3.093499,0.192594,-1.426007,2.090374,-0.283489,0.955490,0.000485,0.000289,0.295022
1.400000,4.401987,3.299023,0.161441,-1.520747,2.019641,-0.338320,0.948505,0.000304,0.000211,0.316761
1.500000,4.245297,3.497318,0.125303,-1.612395,1.945915,-0.382522,0.940861,0.000087,0.000149,0.338792
1.600000,4.079636,3.688120,0.085291,-1.700558,1.869867,-0.416240,0.932981,0.000065,-0.000143,0.359926
1.700000,3.905253,3.871126,0.042483,-1.786565,1.789065,-0.437781,0.924278,0.000091,-0.000178,0.381719
1.800000,3.722404,4.045824,-0.001825,-1.870076,1.704776,-0.446432,0.915466,0.000218,-0.000342,0.402396
1.900000,3.531396,4.212002,-0.046270,-1.949236,1.618339,-0.440231,0.905741,0.000274,-0.000221,0.423831
2.000000,3.332771,4.369434,-0.089379,-2.022389,1.530196,-0.419550,0.895819,0.000220,-0.000231,0.444419
2.100000,3.127110,4.518018,-0.129697,-2.090175,1.441158,-0.385084,0.885372,0.000227,-0.000520,0.464882
