timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.491813,0.253168,0.044968,-0.153663,2.532759,0.454602,0.999725,-0.002180,-0.001329,0.023325
0.200000,5.470986,0.506377,0.089844,-0.256460,2.531113,0.440936,0.998984,-0.002350,0.000344,0.045001
0.300000,5.441505,0.759323,0.132399,-0.331386,2.526955,0.405664,0.997773,-0.002954,0.000057,0.066641
0.400000,5.404476,1.011306,0.170373,-0.412974,2.508439,0.352435,0.995764,-0.002475,0.000433,0.091907
0.500000,5.358159,1.260384,0.202638,-0.516288,2.471605,0.291818,0.993290,-0.002274,0.000946,0.115624
0.600000,5.300746,1.505406,0.228567,-0.633670,2.428334,0.225942,0.990290,-0.002297,0.001402,0.138993
0.700000,5.231201,1.746005,0.247654,-0.758242,2.383404,0.154482,0.986818,-0.001716,0.001297,0.161822
0.800000,5.148990,1.982058,0.259339,-0.886107,2.337724,0.079414,0.982705,-0.001721,0.002047,0.185158
0.900000,5.054032,2.213517,0.263516,-1.012889,2.291859,0.003502,0.978101,-0.001155,0.001882,0.208119
1.000000,4.946691,2.440312,0.259969,-1.132361,2.243378,-0.074637,0.972656,-0.000173,0.001539,0.232247
1.100000,4.827738,2.662183,0.248659,-1.246516,2.194934,-0.150423,0.967580,-0.000110,0.001775,0.252558
1.200000,4.697551,2.879246,0.230007,-1.356669,2.144712,-0.222263,0.961459,-0.000132,0.001165,0.274947
1.300000,4.556569,3.090865,0.204414,-1.462418,2.086337,-0.287879,0.955057,0.000134,0.001539,0.296417
1.400000,4.405315,3.296268,0.172797,-1.561244,2.020417,-0.342546,0.947767,0.000022,0.001900,0.318958
1.500000,4.244398,3.494811,0.136256,-1.657576,1.950698,-0.386944,0.941143,0.000129,0.001773,0.338003
1.600000,4.074048,3.686255,0.095760,-1.746594,1.876331,-0.421183,0.932317,0.000306,0.001598,0.361638
1.700000,3.895462,3.870073,0.052370,-1.824204,1.801603,-0.445219,0.924709,0.000582,0.001193,0.380674
1.800000,3.709465,4.046540,0.007093,-1.893705,1.726595,-0.458074,0.915090,0.000524,0.001186,0.403249
1.900000,3.517002,4.215310,-0.038728,-1.955400,1.649803,-0.456180,0.906594,0.000140,0.000877,0.422003
2.000000,3.318460,4.376418,-0.083571,-2.014514,1.570771,-0.437237,0.896163,-0.000747,0.000924,0.443724
2.100000,3.114119,4.529245,-0.125778,-2.073279,1.484882,-0.406443,0.886476,-0.000049,-0.001022,0.462773
2.200000,2.903589,4.673085,-0.164562,-2.137915,1.389696,-0.367147,0.875721,0.000520,-0.000740,0.482816
2.300000,2.686623,4.806869,-0.198768,-2.199492,1.285138,-0.314644,0.863885,0.000369,-0.000779,0.503689
2.400000,2.463937,4.930161,-0.227169,-2.253612,1.181177,-0.252540,0.852745,0.000744,-0.001851,0.522323
2.500000,2.236110,5.043057,-0.249083,-2.301612,1.075802,-0.184730,0.839949,0.000649,-0.002378,0.542660
2.600000,2.003580,5.145029,-0.263962,-2.350997,0.962037,-0.112706,0.828941,0.001254,-0.002911,0.559327
2.700000,1.766141,5.235156,-0.271579,-2.393491,0.839451,-0.039070,0.814669,0.001462,-0.003456,0.579914
2.800000,1.525237,5.312981,-0.271709,-2.425184,0.719295,0.036526,0.803410,0.001794,-0.004349,0.595407
2.900000,1.281230,5.379082,-0.264402,-2.453213,0.601309,0.109374,0.788035,0.000930,-0.005986,0.615601
3.000000,1.034544,5.433035,-0.250011,-2.481642,0.477318,0.177698,0.774562,0.000905,-0.006283,0.632466
3.100000,0.807057,5.456991,-0.206131,-2.477725,0.319491,0.315075,0.756578,0.000508,-0.002507,0.653898
3.200000,0.557726,5.483010,-0.171404,-2.507568,0.202952,0.376345,0.740488,0.002201,-0.001333,0.672064
3.300000,0.305768,5.497850,-0.131492,-2.530591,0.095258,0.418943,0.724065,0.003787,-0.000087,0.689721
3.400000,0.051960,5.502160,-0.088094,-2.543879,-0.009843,0.447303,0.707524,0.003808,0.001224,0.706678
3.500000,-0.202649,5.495697,-0.042375,-2.546563,-0.119855,0.465918,0.691352,0.002479,0.001674,0.722512
3.600000,-0.457076,5.478305,0.004585,-2.541132,-0.226836,0.469645,0.675371,0.002563,0.001008,0.737473
3.700000,-0.710549,5.450604,0.050934,-2.525954,-0.325639,0.455405,0.658106,0.001071,0.000136,0.752925
3.800000,-0.962039,5.413362,0.095220,-2.503270,-0.419619,0.428094,0.641274,0.000189,-0.000774,0.767312
3.900000,-1.210876,5.366596,0.136046,-2.470957,-0.517184,0.386030,0.622540,-0.000369,-0.001553,0.782586
4.000000,-1.455870,5.309667,0.172033,-2.428180,-0.622711,0.332408,0.604397,-0.001151,-0.001490,0.796681
4.100000,-1.696287,5.241651,0.202241,-2.379031,-0.739559,0.270092,0.585268,-0.001443,-0.001678,0.810837
4.200000,-1.931676,5.161516,0.225833,-2.329703,-0.863588,0.201600,0.566885,-0.001816,-0.000889,0.823794
4.300000,-2.162226,5.068905,0.242346,-2.279353,-0.989044,0.126847,0.546778,-0.000371,-0.000475,0.837277
4.400000,-2.387328,4.963767,0.251238,-2.222036,-1.112859,0.052671,0.526725,-0.001374,0.001149,0.850034
4.500000,-2.607008,4.846727,0.252896,-2.175436,-1.224922,-0.021676,0.509237,0.000059,0.000888,0.860626
4.600000,-2.822630,4.719323,0.246818,-2.134909,-1.320015,-0.099020,0.487047,-0.000125,0.001484,0.873374
4.700000,-3.033921,4.582996,0.233137,-2.092437,-1.406063,-0.175101,0.469683,0.000947,0.001829,0.882833
4.800000,-3.240937,4.438201,0.211965,-2.044729,-1.488620,-0.246663,0.447025,0.001310,0.003397,0.894514
4.900000,-3.442331,4.285208,0.184091,-1.981615,-1.572874,-0.309861,0.427800,0.002393,0.003806,0.903862
5.000000,-3.636946,4.123543,0.150284,-1.909128,-1.660000,-0.364692,0.405867,0.002939,0.003729,0.913920
5.100000,-3.823815,3.953198,0.111508,-1.826262,-1.747146,-0.408732,0.384431,0.003458,0.003529,0.923140
5.200000,-4.001933,3.773975,0.069030,-1.734662,-1.838361,-0.438264,0.363963,0.003604,0.002992,0.931401
5.300000,-4.170555,3.585455,0.024353,-1.637253,-1.931126,-0.453047,0.342052,0.004256,0.002489,0.939668
5.400000,-4.329417,3.387908,-0.021097,-1.540470,-2.018825,-0.453221,0.320757,0.004386,0.002116,0.947149
5.500000,-4.478825,3.181953,-0.065800,-1.448050,-2.098258,-0.439265,0.298439,0.005225,0.002171,0.954412
5.600000,-4.619050,2.968615,-0.108624,-1.357669,-2.166712,-0.415067,0.276620,0.005777,0.002546,0.960959
5.700000,-4.750374,2.748900,-0.148422,-1.267912,-2.226216,-0.379164,0.253716,0.006318,0.002695,0.967254
5.800000,-4.872415,2.523498,-0.184078,-1.172037,-2.282562,-0.332452,0.232468,0.006828,0.003164,0.972575
5.900000,-4.984698,2.292549,-0.214618,-1.073087,-2.334905,-0.277098,0.209468,0.007529,0.002325,0.977784
6.000000,-5.087094,2.056914,-0.239051,-0.975722,-2.375731,-0.209023,0.186741,0.006616,0.001841,0.982385
6.100000,-5.179728,1.817619,-0.256180,-0.874904,-2.409834,-0.134375,0.165360,0.007768,0.001640,0.986201
6.200000,-5.261553,1.574900,-0.265875,-0.758941,-2.445182,-0.058105,0.144075,0.006857,0.001412,0.989542
6.300000,-5.331337,1.328781,-0.267732,-0.637236,-2.475315,0.020547,0.121708,0.007207,0.001326,0.992539
6.400000,-5.388930,1.080060,-0.261627,-0.513259,-2.498447,0.102972,0.099298,0.005640,0.001437,0.995041
6.500000,-5.433995,0.829210,-0.247487,-0.388413,-2.518029,0.175411,0.076883,0.008322,0.002422,0.997002
6.600000,-5.466506,0.576660,-0.227018,-0.261164,-2.530627,0.234534,0.052399,0.007178,0.002266,0.998598
6.700000,-5.486203,0.323193,-0.200707,-0.132944,-2.539785,0.290081,0.030914,0.007573,0.003030,0.999489
6.800000,-5.493346,0.068815,-0.169187,-0.012395,-2.545735,0.340011,0.007583,0.006920,0.002631,0.999944
6.900000,-5.488922,-0.185567,-0.132748,0.100848,-2.540123,0.388502,0.016141,-0.005898,-0.001563,-0.999851
7.000000,-5.473278,-0.439085,-0.091796,0.211542,-2.530871,0.428181,0.038302,-0.005989,-0.000045,-0.999248
7.100000,-5.446741,-0.691698,-0.047552,0.318741,-2.519848,0.454619,0.061451,-0.005673,0.001274,-0.998093
7.200000,-5.409401,-0.942848,-0.001377,0.429866,-2.502301,0.466517,0.083748,-0.005244,0.002270,-0.996471
7.300000,-5.360447,-1.191985,0.045244,0.550507,-2.479145,0.462946,0.106516,-0.004789,0.002477,-0.994296
