timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494180,0.252927,0.043487,-0.116135,2.527662,0.430963,0.999736,-0.000010,0.000008,0.022971
0.200000,5.476754,0.505349,0.085760,-0.232333,2.519916,0.412103,0.998943,-0.000010,0.000025,0.045972
0.300000,5.447732,0.756726,0.125509,-0.347983,2.506857,0.380775,0.997621,-0.000007,0.000030,0.068939
0.400000,5.407162,1.006546,0.161539,-0.463018,2.489042,0.337998,0.995770,-0.000012,0.000048,0.091883
0.500000,5.355164,1.254335,0.192782,-0.577015,2.465700,0.285184,0.993393,-0.000007,0.000059,0.114763
0.600000,5.291846,1.499502,0.218260,-0.689202,2.437032,0.223138,0.990487,-0.000017,0.000084,0.137609
0.700000,5.217357,1.741558,0.237196,-0.800301,2.403375,0.154800,0.987059,-0.000003,0.000082,0.160355
0.800000,5.131804,1.980008,0.249058,-0.910260,2.364524,0.081649,0.983112,-0.000011,0.000089,0.183005
0.900000,5.035380,2.214259,0.253441,-1.017830,2.319772,0.005952,0.978644,-0.000033,0.000105,0.205565
1.000000,4.928291,2.443836,0.250217,-1.123557,2.271137,-0.070437,0.973658,-0.000029,0.000101,0.228013
1.100000,4.810759,2.668272,0.239432,-1.226717,2.216635,-0.144609,0.968157,-0.000038,0.000079,0.250345
1.200000,4.683029,2.887045,0.221458,-1.327285,2.158196,-0.213809,0.962147,-0.000046,0.000090,0.272531
1.300000,4.545392,3.099756,0.196901,-1.425002,2.095627,-0.276716,0.955622,-0.000074,0.000091,0.294595
1.400000,4.398129,3.305997,0.166455,-1.520025,2.028595,-0.330699,0.948601,-0.000049,0.000094,0.316474
1.500000,4.241527,3.505317,0.131028,-1.611647,1.957274,-0.375817,0.941072,-0.000053,0.000073,0.338207
1.600000,4.075901,3.697271,0.091674,-1.699854,1.880873,-0.409082,0.933054,-0.000039,0.000096,0.359736
1.700000,3.901679,3.881393,0.049628,-1.784299,1.801332,-0.429413,0.924527,-0.000044,0.000103,0.381117
1.800000,3.719153,4.057389,0.006237,-1.865735,1.718223,-0.436307,0.915513,-0.000042,0.000104,0.402288
1.900000,3.528700,4.224880,-0.037207,-1.942695,1.631418,-0.430374,0.906031,-0.000049,0.000098,0.423212
2.000000,3.330753,4.383536,-0.079432,-2.015774,1.540937,-0.411680,0.896060,-0.000061,0.000112,0.443933
2.100000,3.125709,4.532951,-0.119152,-2.084372,1.447050,-0.380666,0.885619,-0.000064,0.000113,0.464412
2.200000,2.914007,4.672858,-0.155146,-2.148763,1.350850,-0.337299,0.874700,-0.000079,0.000113,0.484665
2.300000,2.696089,4.802982,-0.186253,-2.208422,1.251212,-0.283313,0.863321,-0.000091,0.000131,0.504655
2.400000,2.472460,4.923022,-0.211555,-2.263650,1.149351,-0.221877,0.851491,-0.000073,0.000161,0.524369
