timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494202,0.252910,0.043540,-0.116177,2.527491,0.431902,0.999736,0.000023,0.000014,0.022997
0.200000,5.476787,0.505331,0.085921,-0.232182,2.520077,0.413465,0.998942,0.000020,0.000013,0.045992
0.300000,5.447782,0.756766,0.125777,-0.347571,2.507610,0.381778,0.997620,0.000006,0.000006,0.068948
0.400000,5.407297,1.006673,0.161897,-0.461706,2.489312,0.338968,0.995772,0.000031,0.000033,0.091861
0.500000,5.355416,1.254463,0.193206,-0.575657,2.465852,0.285758,0.993397,0.000049,0.000047,0.114730
0.600000,5.292195,1.499657,0.218770,-0.688352,2.437344,0.224301,0.990494,0.000051,0.000057,0.137554
0.700000,5.217805,1.741729,0.237837,-0.799393,2.403556,0.156167,0.987072,0.000085,0.000036,0.160279
0.800000,5.132373,1.980153,0.249797,-0.909017,2.364286,0.082587,0.983125,0.000078,0.000033,0.182937
0.900000,5.036070,2.214443,0.254265,-1.016751,2.320446,0.006809,0.978653,0.000073,0.000038,0.205521
1.000000,4.929091,2.444103,0.251148,-1.122310,2.271959,-0.069106,0.973668,0.000067,0.000002,0.227972
1.100000,4.811652,2.668669,0.240534,-1.225965,2.218580,-0.142761,0.968167,0.000052,-0.000021,0.250307
1.200000,4.683991,2.887630,0.222755,-1.326933,2.159820,-0.212328,0.962150,0.000053,-0.000039,0.272519
1.300000,4.546370,3.100491,0.198299,-1.425171,2.096694,-0.275309,0.955627,0.000053,-0.000040,0.294578
1.400000,4.399067,3.306821,0.167961,-1.520373,2.029027,-0.329772,0.948601,0.000038,-0.000035,0.316474
1.500000,4.242419,3.506163,0.132657,-1.612166,1.957010,-0.374389,0.941071,0.000017,-0.000037,0.338208
1.600000,4.076743,3.698112,0.093502,-1.701177,1.881225,-0.406749,0.933044,0.000025,-0.000025,0.359763
1.700000,3.902362,3.882251,0.051710,-1.786060,1.801104,-0.427193,0.924530,0.000024,-0.000027,0.381110
1.800000,3.719663,4.058234,0.008489,-1.867541,1.717890,-0.435169,0.915515,0.000024,-0.000028,0.402283
1.900000,3.529035,4.225673,-0.034852,-1.944540,1.630621,-0.429472,0.906023,0.000042,-0.000020,0.423228
2.000000,3.330882,4.384247,-0.076983,-2.017529,1.539968,-0.411123,0.896047,0.000061,-0.000028,0.443959
2.100000,3.125630,4.533577,-0.116646,-2.086929,1.446108,-0.379917,0.885611,0.000060,-0.000064,0.464429
2.200000,2.913677,4.673347,-0.152578,-2.151202,1.349008,-0.336832,0.874692,0.000074,-0.000063,0.484679
2.300000,2.695546,4.803297,-0.183659,-2.210794,1.249221,-0.283445,0.863317,0.000050,-0.000070,0.504661
2.400000,2.471697,4.923103,-0.208950,-2.265636,1.146597,-0.221447,0.851477,0.000017,-0.000063,0.524392
2.500000,2.242546,5.032531,-0.227705,-2.316759,1.041753,-0.152798,0.839189,0.000009,-0.000066,0.543840
2.600000,2.008537,5.131364,-0.239330,-2.362786,0.934685,-0.079049,0.826455,0.000006,-0.000095,0.563003
2.700000,1.770185,5.219370,-0.243415,-2.403445,0.825352,-0.002681,0.813301,0.000014,-0.000099,0.581843
2.800000,1.528034,5.296366,-0.239885,-2.438976,0.714395,0.073518,0.799713,0.000031,-0.000104,0.600383
2.900000,1.282588,5.362203,-0.228833,-2.469383,0.601963,0.147024,0.785688,0.000031,-0.000105,0.618623
3.000000,1.034309,5.416750,-0.210606,-2.495141,0.488954,0.216532,0.771234,0.000039,-0.000105,0.636551
3.100000,0.783750,5.459893,-0.185738,-2.515128,0.373840,0.279755,0.756397,0.000037,-0.000133,0.654113
3.200000,0.531442,5.491483,-0.154987,-2.530315,0.258028,0.333907,0.741142,0.000035,-0.000130,0.671348
3.300000,0.277902,5.511481,-0.119308,-2.539665,0.142179,0.377862,0.725512,0.000043,-0.000131,0.688209
3.400000,0.023681,5.519865,-0.079772,-2.544051,0.025652,0.411145,0.709484,0.000014,-0.000150,0.704721
3.500000,-0.230720,5.516598,-0.037530,-2.542879,-0.090949,0.431624,0.693097,0.000011,-0.000159,0.720844
3.600000,-0.484720,5.501704,0.006108,-2.536517,-0.207029,0.439096,0.676337,-0.000004,-0.000151,0.736593
3.700000,-0.737831,5.475203,0.049836,-2.524840,-0.323016,0.433372,0.659238,0.000019,-0.000167,0.751935
3.800000,-0.989504,5.437119,0.092325,-2.507394,-0.438411,0.414694,0.641778,-0.000001,-0.000162,0.766891
3.900000,-1.239159,5.387560,0.132280,-2.484854,-0.552686,0.382753,0.623966,0.000004,-0.000174,0.781452
4.000000,-1.486323,5.326623,0.168485,-2.457513,-0.665776,0.339677,0.605853,0.000025,-0.000151,0.795576
4.100000,-1.730471,5.254443,0.199861,-2.424605,-0.777621,0.285894,0.587415,0.000021,-0.000154,0.809286
4.200000,-1.971048,5.171155,0.225419,-2.386197,-0.887722,0.223873,0.568656,0.000025,-0.000166,0.822575
4.300000,-2.207559,5.076926,0.244397,-2.343397,-0.996294,0.154613,0.549585,0.000022,-0.000166,0.835438
4.400000,-2.439536,4.971997,0.256193,-2.295442,-1.102146,0.080773,0.530236,0.000008,-0.000152,0.847850
4.500000,-2.666466,4.856582,0.260492,-2.242462,-1.206097,0.004914,0.510598,-0.000011,-0.000167,0.859820
4.600000,-2.887875,4.730889,0.257180,-2.185104,-1.307228,-0.071083,0.490685,-0.000025,-0.000186,0.871337
4.700000,-3.103308,4.595237,0.246360,-2.122749,-1.405768,-0.144671,0.470532,-0.000037,-0.000204,0.882383
