timestamp,d_q,d_v,d_p
0.000000,0.000000,0.000000,0.000000
0.100000,0.000039,0.001439,0.000057
0.200000,0.009147,0.024032,0.051371
0.300000,0.009180,0.023872,0.051476
0.400000,0.000082,0.005599,0.001192
0.500000,0.000117,0.006455,0.001803
0.600000,0.000126,0.007442,0.002492
0.700000,0.000119,0.008190,0.003273
0.800000,0.000177,0.008974,0.004134
0.900000,0.000233,0.009377,0.005044
1.000000,0.000229,0.010210,0.006020
1.100000,0.000230,0.009805,0.007001
1.200000,0.000251,0.009605,0.007961
1.300000,0.000279,0.010134,0.008907
1.400000,0.000275,0.010330,0.009844
1.500000,0.000242,0.010468,0.010774
1.600000,0.000150,0.011004,0.011660
1.700000,0.000094,0.010958,0.012494
1.800000,0.000102,0.011753,0.013316
1.900000,0.000109,0.012541,0.014123
2.000000,0.000136,0.013254,0.014960
2.100000,0.000113,0.013900,0.015834
2.200000,0.000136,0.014827,0.016770
2.300000,0.000155,0.015100,0.017749
2.400000,0.000150,0.016201,0.018798
2.500000,0.000154,0.017610,0.019976
2.600000,0.000131,0.018094,0.021264
2.700000,0.000109,0.018764,0.022664
2.800000,0.000129,0.018931,0.024159
2.900000,0.000176,0.019408,0.025766
3.000000,0.000236,0.020195,0.027491
3.100000,0.000237,0.020716,0.029286
3.200000,0.000270,0.020814,0.031171
3.300000,0.000266,0.020701,0.033098
3.400000,0.000241,0.021469,0.035091
3.500000,0.000248,0.021227,0.037126
3.600000,0.000261,0.021179,0.039142
3.700000,0.000242,0.021824,0.041160
3.800000,0.000228,0.022506,0.043236
3.900000,0.000238,0.023144,0.045345
4.000000,0.000203,0.023583,0.047504
4.100000,0.009354,0.021041,0.087806
4.200000,0.009377,0.020178,0.088948
4.300000,0.009433,0.019667,0.090073
4.400000,0.009465,0.019175,0.091159
4.500000,0.009452,0.018566,0.092255
4.600000,0.009432,0.017997,0.093304
4.700000,0.009416,0.017174,0.094325
4.800000,0.009428,0.016206,0.095282
4.900000,0.009419,0.015450,0.096214
5.000000,0.009371,0.014545,0.097108
