timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.491475,0.249366,0.043506,-0.163284,2.465972,0.430816,0.999827,0.001707,0.000487,0.018535
0.200000,5.462391,0.545605,0.094206,-0.316058,2.496213,0.413453,0.999513,0.002812,0.002972,0.030935
0.300000,5.425725,0.797750,0.134392,-0.411621,2.529001,0.387005,0.997479,0.002554,0.001568,0.070895
0.400000,5.390093,0.999171,0.163951,-0.481553,2.504264,0.349500,0.995784,0.002300,0.000177,0.091704
0.500000,5.336982,1.247834,0.195968,-0.581861,2.471246,0.290069,0.993666,0.001486,0.000603,0.112360
0.600000,5.273565,1.493518,0.221768,-0.686483,2.440457,0.224441,0.990619,0.000634,0.000041,0.136654
0.700000,5.199661,1.735752,0.240631,-0.791784,2.404413,0.152072,0.987353,-0.000500,0.000051,0.158536
0.800000,5.115236,1.974211,0.252101,-0.896379,2.363580,0.076314,0.983345,-0.001045,-0.000151,0.181746
0.900000,5.020402,2.208246,0.255849,-1.000507,2.316658,-0.001113,0.978973,-0.001365,-0.000091,0.203986
1.000000,4.915138,2.437326,0.251902,-1.104738,2.263866,-0.077353,0.973917,-0.001727,0.000063,0.226898
1.100000,4.799462,2.660785,0.240506,-1.208938,2.204433,-0.149989,0.968371,-0.001990,-0.000113,0.249505
1.200000,4.673366,2.878098,0.222029,-1.312992,2.141067,-0.218339,0.962294,-0.002221,0.000207,0.272003
1.300000,4.536992,3.088872,0.197091,-1.414170,2.074045,-0.279732,0.955765,-0.002273,0.000087,0.294124
1.400000,4.390594,3.292855,0.166338,-1.513480,2.004771,-0.333360,0.948707,-0.002277,0.000360,0.316148
1.500000,4.234414,3.489718,0.130759,-1.609641,1.932125,-0.376743,0.941151,-0.002260,0.000561,0.337977
1.600000,4.068787,3.679184,0.091418,-1.702386,1.856706,-0.408669,0.933123,-0.002171,0.000811,0.359549
1.700000,3.894051,3.860979,0.049408,-1.791571,1.778634,-0.429377,0.924568,-0.001995,0.001048,0.381011
1.800000,3.710649,4.034850,0.005960,-1.875967,1.698216,-0.437521,0.915563,-0.001818,0.001310,0.402168
1.900000,3.519031,4.200565,-0.037619,-1.955677,1.615764,-0.432149,0.905992,-0.001493,0.001542,0.423290
2.000000,3.319684,4.357928,-0.079984,-2.030211,1.531024,-0.413061,0.896102,-0.001297,0.001881,0.443842
2.100000,3.113173,4.506694,-0.119761,-2.098977,1.443802,-0.380506,0.885596,-0.000861,0.001970,0.464451
2.200000,2.900119,4.646570,-0.155700,-2.161390,1.353329,-0.336435,0.874759,-0.000299,0.002162,0.484553
2.300000,2.681128,4.777293,-0.186595,-2.217495,1.260841,-0.280034,0.863372,0.000200,0.002312,0.504562
2.400000,2.456815,4.898595,-0.211402,-2.267550,1.164846,-0.214940,0.851652,0.000791,0.002362,0.524102
2.500000,2.227825,5.010145,-0.229353,-2.311539,1.065293,-0.143046,0.839447,0.001368,0.002268,0.543435
2.600000,1.994681,5.111439,-0.239893,-2.350453,0.959926,-0.067040,0.826879,0.002034,0.002305,0.562371
2.700000,1.757895,5.201932,-0.242686,-2.384834,0.849066,0.011142,0.813963,0.002530,0.002304,0.580906
2.800000,1.517883,5.281057,-0.237658,-2.414470,0.732881,0.088673,0.800394,0.002848,0.002133,0.599464
2.900000,1.275138,5.348370,-0.225067,-2.440056,0.612731,0.162585,0.786672,0.003009,0.001928,0.617361
3.000000,1.030031,5.403505,-0.205314,-2.461247,0.489734,0.231645,0.772281,0.002918,0.001546,0.635273
3.100000,0.783040,5.446351,-0.178967,-2.477817,0.366866,0.293853,0.757302,0.002634,0.001344,0.653059
3.200000,0.534659,5.476896,-0.146792,-2.489349,0.244318,0.347711,0.741798,0.002063,0.000911,0.670619
3.300000,0.285337,5.495317,-0.109823,-2.496136,0.124536,0.390158,0.725821,0.001077,0.000420,0.687883
3.400000,0.035581,5.501828,-0.069124,-2.498279,0.005593,0.421468,0.709526,0.000124,-0.000210,0.704679
3.500000,-0.214140,5.496410,-0.025979,-2.494751,-0.113847,0.439529,0.692637,-0.000814,-0.000519,0.721285
3.600000,-0.463166,5.479057,0.018251,-2.484571,-0.233015,0.443254,0.675454,-0.001495,-0.000520,0.737400
3.700000,-0.710691,5.449866,0.062230,-2.464584,-0.350247,0.434150,0.657847,-0.001906,-0.000421,0.753149
3.800000,-0.955731,5.409097,0.104646,-2.434572,-0.464597,0.411980,0.640088,-0.002106,-0.000193,0.768299
3.900000,-1.197215,5.357157,0.144198,-2.393561,-0.572945,0.377296,0.622233,-0.002232,0.000257,0.782829
4.000000,-1.434348,5.294729,0.179761,-2.350086,-0.675303,0.332377,0.605791,-0.002259,0.000882,0.795620
4.100000,-1.715258,5.205982,0.215987,-2.347170,-0.808001,0.270893,0.594819,-0.002853,0.001784,0.803852
4.200000,-1.950194,5.119612,0.240157,-2.335966,-0.914361,0.210123,0.563346,-0.002392,0.001465,0.826216
4.300000,-2.182112,5.023411,0.257649,-2.314766,-1.011445,0.138983,0.557192,-0.002133,0.001508,0.830380
4.400000,-2.413042,4.917591,0.267788,-2.290384,-1.100535,0.063508,0.526881,-0.001883,0.002182,0.849934
4.500000,-2.639243,4.803155,0.270155,-2.237802,-1.194148,-0.017716,0.517118,-0.001531,0.001757,0.855911
4.600000,-2.860431,4.678653,0.264219,-2.180242,-1.291274,-0.099709,0.489515,-0.002130,0.002307,0.871989
4.700000,-3.074783,4.544806,0.250344,-2.107929,-1.391184,-0.177652,0.476941,-0.000725,0.001951,0.878933
4.800000,-3.281848,4.400344,0.228938,-2.030604,-1.492405,-0.248168,0.449618,-0.001321,0.001626,0.893219
