timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.493906,0.252739,0.043543,-0.121489,2.524594,0.430836,0.999743,-0.000503,-0.000390,0.022675
0.200000,5.475834,0.504828,0.085659,-0.239446,2.516725,0.409383,0.998953,-0.000715,-0.000245,0.045743
0.300000,5.446147,0.755928,0.125070,-0.353725,2.504518,0.376936,0.997631,-0.000764,-0.000129,0.068789
0.400000,5.405149,1.005562,0.160659,-0.465785,2.487063,0.332924,0.995787,-0.000637,-0.000071,0.091690
0.500000,5.352959,1.253193,0.191311,-0.578262,2.464823,0.279021,0.993413,-0.000397,-0.000024,0.114592
0.600000,5.289574,1.498255,0.216125,-0.689616,2.435825,0.216321,0.990523,-0.000228,-0.000009,0.137344
0.700000,5.215077,1.740161,0.234297,-0.800255,2.401459,0.146011,0.987102,0.000055,-0.000129,0.160091
0.800000,5.129562,1.978350,0.245251,-0.909558,2.361734,0.072609,0.983161,0.000181,-0.000019,0.182741
0.900000,5.033209,2.212329,0.248730,-1.016972,2.316981,-0.002980,0.978715,0.000383,-0.000031,0.205224
1.000000,4.926246,2.441605,0.244681,-1.121784,2.268038,-0.077856,0.973727,0.000475,0.000049,0.227719
1.100000,4.808903,2.665729,0.233229,-1.224520,2.213721,-0.150698,0.968250,0.000534,-0.000018,0.249985
1.200000,4.681431,2.884194,0.214702,-1.324291,2.154942,-0.218844,0.962224,0.000549,0.000007,0.272259
1.300000,4.544126,3.096549,0.189684,-1.421301,2.091529,-0.280178,0.955719,0.000558,-0.000069,0.294281
1.400000,4.397243,3.302352,0.158933,-1.515939,2.023614,-0.333614,0.948680,0.000546,-0.000061,0.316238
1.500000,4.241073,3.501147,0.123309,-1.606830,1.951611,-0.377117,0.941181,0.000528,-0.000088,0.337903
1.600000,4.075957,3.692501,0.083936,-1.694971,1.874541,-0.408256,0.933094,0.000459,-0.000130,0.359633
1.700000,3.902196,3.875945,0.042083,-1.779766,1.793561,-0.427103,0.924603,0.000414,-0.000134,0.380933
1.800000,3.720088,4.051090,-0.001038,-1.861503,1.708954,-0.433206,0.915542,0.000354,-0.000117,0.402221
1.900000,3.530042,4.217645,-0.044106,-1.939189,1.621564,-0.426282,0.906060,0.000317,-0.000142,0.423149
2.000000,3.332425,4.375252,-0.085841,-2.012686,1.530247,-0.406377,0.896055,0.000209,-0.000101,0.443942
2.100000,3.127659,4.523605,-0.124998,-2.082215,1.436229,-0.374718,0.885601,0.000159,-0.000145,0.464446
2.200000,2.916162,4.662412,-0.160370,-2.146944,1.339492,-0.330857,0.874672,0.000080,-0.000088,0.484715
2.300000,2.698458,4.791457,-0.190862,-2.206638,1.240979,-0.277348,0.863320,0.000005,-0.000100,0.504656
2.400000,2.475043,4.910529,-0.215581,-2.261377,1.139977,-0.215877,0.851477,-0.000042,-0.000126,0.524393
2.500000,2.246352,5.019361,-0.233752,-2.311510,1.036566,-0.146699,0.839236,-0.000122,-0.000093,0.543767
2.600000,2.012927,5.117707,-0.244789,-2.356054,0.930055,-0.073358,0.826519,-0.000162,-0.000116,0.562909
2.700000,1.775324,5.205342,-0.248399,-2.395170,0.822350,0.001393,0.813398,-0.000185,-0.000161,0.581708
2.800000,1.534091,5.282108,-0.244491,-2.428819,0.712659,0.076530,0.799866,-0.000240,-0.000197,0.600179
2.900000,1.289728,5.347776,-0.233162,-2.457544,0.599925,0.149316,0.785916,-0.000257,-0.000243,0.618333
3.000000,1.042726,5.402079,-0.214775,-2.482149,0.485627,0.217708,0.771604,-0.000348,-0.000281,0.636103
3.100000,0.793492,5.444813,-0.189825,-2.501610,0.368815,0.279929,0.756748,-0.000329,-0.000428,0.653706
3.200000,0.542598,5.475825,-0.159118,-2.515795,0.251429,0.333159,0.741591,-0.000389,-0.000427,0.670853
3.300000,0.290531,5.495104,-0.123550,-2.524810,0.133661,0.376253,0.725861,-0.000303,-0.000469,0.687841
3.400000,0.037826,5.502619,-0.084233,-2.528675,0.016664,0.407757,0.709832,-0.000291,-0.000454,0.704371
3.500000,-0.215026,5.498447,-0.042407,-2.527829,-0.100152,0.426573,0.693317,-0.000197,-0.000467,0.720632
3.600000,-0.467486,5.482637,0.000677,-2.520363,-0.215764,0.433152,0.676437,-0.000120,-0.000468,0.736501
3.700000,-0.718938,5.455318,0.043769,-2.507850,-0.330733,0.426571,0.659273,-0.000082,-0.000427,0.751903
3.800000,-0.968928,5.416486,0.085537,-2.490777,-0.445760,0.406407,0.641697,0.000006,-0.000409,0.766958
3.900000,-1.216910,5.366178,0.124646,-2.468048,-0.560093,0.373682,0.623860,0.000067,-0.000373,0.781536
4.000000,-1.462373,5.304553,0.159909,-2.440341,-0.671978,0.329738,0.605700,0.000104,-0.000308,0.795693
4.100000,-1.704818,5.231775,0.190259,-2.407160,-0.783332,0.275705,0.587118,0.000205,-0.000259,0.809501
4.200000,-1.943673,5.147920,0.214752,-2.368779,-0.893541,0.213191,0.568475,0.000227,-0.000226,0.822700
4.300000,-2.178438,5.053134,0.232672,-2.325836,-1.001637,0.144334,0.549313,0.000205,-0.000133,0.835617
4.400000,-2.408607,4.947674,0.243508,-2.276814,-1.107286,0.071458,0.530034,0.000266,-0.000086,0.847976
4.500000,-2.633658,4.831790,0.246875,-2.223613,-1.209957,-0.004289,0.510347,0.000242,-0.000045,0.859969
4.600000,-2.853116,4.705706,0.242704,-2.164807,-1.311505,-0.079110,0.490547,0.000261,-0.000017,0.871415
4.700000,-3.066455,4.569566,0.231125,-2.101133,-1.410722,-0.152104,0.470310,0.000243,-0.000008,0.882501
4.800000,-3.273189,4.423695,0.212444,-2.032752,-1.506193,-0.220474,0.449943,0.000194,0.000034,0.893057
4.900000,-3.472884,4.268438,0.187290,-1.960411,-1.598426,-0.281778,0.429274,0.000180,0.000029,0.903174
5.000000,-3.665137,4.104094,0.156408,-1.883999,-1.688001,-0.334268,0.408420,0.000161,0.000057,0.912794
5.100000,-3.849560,3.930990,0.120751,-1.803841,-1.773453,-0.377168,0.387252,0.000189,0.000080,0.921974
5.200000,-4.025775,3.749520,0.081355,-1.720398,-1.855222,-0.408627,0.366009,0.000110,0.000132,0.930611
5.300000,-4.193506,3.560077,0.039459,-1.634022,-1.932852,-0.427257,0.344485,0.000127,0.000119,0.938792
5.400000,-4.352411,3.363091,-0.003696,-1.543529,-2.005997,-0.433574,0.322759,0.000074,0.000127,0.946481
5.500000,-4.502149,3.159026,-0.046789,-1.450808,-2.074826,-0.426160,0.300904,0.000037,0.000146,0.953654
5.600000,-4.642459,2.948323,-0.088483,-1.355222,-2.138656,-0.405866,0.278969,0.000017,0.000118,0.960300
5.700000,-4.773070,2.731419,-0.127520,-1.256531,-2.198532,-0.372803,0.256838,0.000033,0.000114,0.966454
5.800000,-4.893691,2.508751,-0.162686,-1.155513,-2.253734,-0.328836,0.234622,-0.000035,0.000104,0.972087
5.900000,-5.004042,2.280834,-0.192916,-1.050870,-2.303676,-0.274317,0.212256,-0.000059,0.000098,0.977214
6.000000,-5.103767,2.048187,-0.217272,-0.943585,-2.348409,-0.211599,0.189814,-0.000105,0.000062,0.981820
6.100000,-5.192698,1.811263,-0.235013,-0.834529,-2.389008,-0.142030,0.167217,-0.000103,0.000020,0.985920
6.200000,-5.270611,1.570562,-0.245563,-0.723465,-2.424047,-0.068575,0.144505,-0.000091,-0.000001,0.989504
6.300000,-5.337341,1.326620,-0.248630,-0.610526,-2.453923,0.007408,0.121717,-0.000097,-0.000002,0.992565
6.400000,-5.392693,1.079927,-0.244101,-0.496310,-2.478926,0.083132,0.098842,-0.000083,-0.000009,0.995103
6.500000,-5.436541,0.830947,-0.232118,-0.380481,-2.499974,0.155885,0.075845,-0.000058,-0.000003,0.997120
