timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494026,0.252619,0.043380,-0.119091,2.522286,0.428701,0.999741,-0.000124,-0.000017,0.022754
0.200000,5.476286,0.504417,0.085345,-0.235255,2.513102,0.408863,0.998950,-0.000350,0.000165,0.045804
0.300000,5.446979,0.755107,0.124753,-0.351184,2.499700,0.376902,0.997616,-0.000279,-0.000076,0.069009
0.400000,5.406043,1.004187,0.160270,-0.467630,2.480600,0.331673,0.995751,0.000014,-0.000254,0.092089
0.500000,5.353492,1.251142,0.190777,-0.582892,2.457999,0.277408,0.993374,0.000242,-0.000066,0.114925
0.600000,5.289522,1.495635,0.215471,-0.695807,2.431052,0.215185,0.990484,0.000560,-0.000111,0.137624
0.700000,5.214478,1.737200,0.233637,-0.804204,2.399196,0.147353,0.987043,0.000752,0.000029,0.160452
0.800000,5.128713,1.975250,0.244789,-0.910855,2.361214,0.075216,0.983140,0.000845,-0.000056,0.182852
0.900000,5.032387,2.209223,0.248554,-1.015576,2.317572,0.000034,0.978682,0.000553,0.000154,0.205380
1.000000,4.925710,2.438584,0.244793,-1.118029,2.268476,-0.075587,0.973683,0.000634,-0.000194,0.227904
1.100000,4.808882,2.662724,0.233501,-1.218070,2.213517,-0.149172,0.968170,0.000471,-0.000034,0.250295
1.200000,4.682152,2.881082,0.215117,-1.316559,2.152921,-0.218023,0.962196,0.000513,-0.000331,0.272356
1.300000,4.545636,3.093161,0.190140,-1.413135,2.087448,-0.279830,0.955520,0.000310,-0.000122,0.294926
1.400000,4.399583,3.298406,0.159450,-1.507578,2.017653,-0.332909,0.948677,-0.000138,-0.000416,0.316247
1.500000,4.244180,3.496586,0.123870,-1.599644,1.944747,-0.377159,0.940828,-0.000260,-0.000432,0.338885
1.600000,4.079762,3.687265,0.084409,-1.688367,1.869326,-0.410195,0.933027,-0.000344,-0.000335,0.359807
1.700000,3.906592,3.870340,0.042270,-1.774316,1.790740,-0.430614,0.924160,-0.000100,-0.000271,0.382005
