timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494074,0.252883,0.043417,-0.117880,2.527364,0.429748,0.999737,0.000003,0.000146,0.022954
0.200000,5.476431,0.505266,0.085529,-0.234301,2.519944,0.409897,0.998943,0.000020,0.000182,0.045968
0.300000,5.447186,0.756643,0.125048,-0.350416,2.506943,0.378195,0.997622,0.000053,0.000191,0.068920
0.400000,5.406395,1.006469,0.160784,-0.465198,2.488780,0.334627,0.995773,0.000056,0.000181,0.091844
0.500000,5.354177,1.254215,0.191656,-0.578830,2.465301,0.281260,0.993398,0.000074,0.000174,0.114719
0.600000,5.290650,1.499314,0.216722,-0.691536,2.436118,0.218776,0.990500,0.000110,0.000171,0.137513
0.700000,5.215926,1.741282,0.235195,-0.802429,2.402209,0.150236,0.987076,0.000151,0.000178,0.160252
0.800000,5.130213,1.979604,0.246537,-0.911691,2.363053,0.076865,0.983131,0.000165,0.000188,0.182903
0.900000,5.033651,2.213746,0.250426,-1.018973,2.318806,0.001330,0.978665,0.000183,0.000201,0.205462
1.000000,4.926491,2.443220,0.246711,-1.124114,2.269718,-0.074711,0.973682,0.000206,0.000215,0.227912
1.100000,4.808916,2.667545,0.235505,-1.227106,2.215631,-0.148099,0.968182,0.000228,0.000221,0.250248
1.200000,4.681191,2.886230,0.217148,-1.327266,2.157023,-0.217063,0.962175,0.000248,0.000255,0.272432
1.300000,4.543600,3.098802,0.192242,-1.423973,2.093762,-0.279160,0.955654,0.000251,0.000268,0.294492
1.400000,4.396452,3.304825,0.161473,-1.518597,2.026060,-0.333508,0.948624,0.000274,0.000257,0.316405
1.500000,4.239970,3.503837,0.125787,-1.610462,1.953568,-0.377476,0.941096,0.000279,0.000270,0.338140
1.600000,4.074521,3.695424,0.086310,-1.698031,1.877222,-0.409170,0.933067,0.000295,0.000254,0.359703
1.700000,3.900442,3.879197,0.044254,-1.782906,1.797496,-0.428719,0.924547,0.000296,0.000251,0.381067
1.800000,3.718113,4.054760,0.000911,-1.863083,1.713167,-0.434833,0.915536,0.000296,0.000236,0.402236
1.900000,3.527970,4.221714,-0.042410,-1.939321,1.625144,-0.428341,0.906037,0.000326,0.000242,0.423198
2.000000,3.330386,4.379690,-0.084432,-2.011496,1.533980,-0.408586,0.896058,0.000348,0.000218,0.443937
2.100000,3.125786,4.528392,-0.123814,-2.079985,1.439703,-0.376241,0.885608,0.000363,0.000185,0.464433
2.200000,2.914584,4.667515,-0.159351,-2.143532,1.342087,-0.331942,0.874681,0.000386,0.000176,0.484699
2.300000,2.697232,4.796720,-0.189974,-2.202994,1.241927,-0.278291,0.863289,0.000413,0.000147,0.504710
2.400000,2.474198,4.915776,-0.214775,-2.257237,1.138889,-0.216073,0.851446,0.000487,0.000123,0.524443
2.500000,2.245946,5.024407,-0.232968,-2.307054,1.034035,-0.147003,0.839140,0.000540,0.000072,0.543916
2.600000,2.012938,5.122438,-0.243980,-2.352345,0.926759,-0.073005,0.826396,0.000592,0.000065,0.563089
2.700000,1.775660,5.209614,-0.247459,-2.392750,0.817230,0.003026,0.813223,0.000652,0.000020,0.581952
2.800000,1.534625,5.285705,-0.243317,-2.427580,0.705265,0.079026,0.799614,0.000681,-0.000011,0.600514
2.900000,1.290331,5.350539,-0.231656,-2.457926,0.592318,0.152724,0.785571,0.000742,-0.000054,0.618771
3.000000,1.043255,5.403998,-0.212866,-2.483098,0.478103,0.221036,0.771115,0.000784,-0.000101,0.636695
3.100000,0.793974,5.445968,-0.187537,-2.502759,0.362615,0.283144,0.756260,0.000824,-0.000130,0.654271
3.200000,0.542952,5.476382,-0.156425,-2.517111,0.246973,0.336348,0.740992,0.000886,-0.000190,0.671514
3.300000,0.290758,5.495196,-0.120483,-2.526285,0.131138,0.379672,0.725331,0.000914,-0.000220,0.688399
3.400000,0.037919,5.502387,-0.080756,-2.530133,0.014885,0.412032,0.709300,0.000910,-0.000300,0.704907
