timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494129,0.252900,0.043402,-0.117787,2.526892,0.429361,0.999735,-0.000037,0.000272,0.022999
0.200000,5.476525,0.505280,0.085413,-0.234276,2.519341,0.408893,0.998943,-0.000072,0.000336,0.045973
0.300000,5.447335,0.756607,0.124813,-0.349649,2.506158,0.377033,0.997621,-0.000096,0.000352,0.068939
0.400000,5.406605,1.006331,0.160458,-0.464330,2.487407,0.333769,0.995773,-0.000073,0.000364,0.091848
0.500000,5.354448,1.253925,0.191215,-0.578222,2.463517,0.279918,0.993395,-0.000070,0.000353,0.114748
0.600000,5.290964,1.498916,0.216160,-0.690754,2.435173,0.217834,0.990491,-0.000045,0.000346,0.137579
0.700000,5.216303,1.740803,0.234533,-0.802020,2.401545,0.148786,0.987064,-0.000016,0.000335,0.160329
0.800000,5.130640,1.979057,0.245742,-0.911123,2.362788,0.075127,0.983112,0.000018,0.000344,0.183002
0.900000,5.034098,2.213185,0.249438,-1.018936,2.318793,-0.000860,0.978644,0.000026,0.000324,0.205564
1.000000,4.926913,2.442666,0.245526,-1.124555,2.269656,-0.076828,0.973660,0.000048,0.000312,0.228005
1.100000,4.809291,2.666999,0.234117,-1.227673,2.215725,-0.150137,0.968163,0.000077,0.000301,0.250321
1.200000,4.681491,2.885730,0.215559,-1.327951,2.157291,-0.219239,0.962152,0.000099,0.000311,0.272514
1.300000,4.543801,3.098347,0.190406,-1.425504,2.093246,-0.281536,0.955631,0.000117,0.000311,0.294565
1.400000,4.396531,3.304332,0.159430,-1.519947,2.025362,-0.335296,0.948611,0.000154,0.000305,0.316444
1.500000,4.239954,3.503330,0.123574,-1.610977,1.953469,-0.379075,0.941082,0.000195,0.000306,0.338178
1.600000,4.074428,3.694895,0.083919,-1.698833,1.877370,-0.411121,0.933056,0.000237,0.000305,0.359732
1.700000,3.900307,3.878642,0.041645,-1.782690,1.797230,-0.430949,0.924538,0.000284,0.000303,0.381091
1.800000,3.717956,4.054199,-0.001967,-1.863068,1.713789,-0.437569,0.915526,0.000336,0.000270,0.402258
1.900000,3.527760,4.221218,-0.045541,-1.939793,1.626522,-0.430443,0.906035,0.000359,0.000246,0.423204
2.000000,3.330112,4.379323,-0.087737,-2.012342,1.535761,-0.410244,0.896072,0.000406,0.000219,0.443908
2.100000,3.125440,4.528190,-0.127293,-2.079929,1.441711,-0.377933,0.885618,0.000462,0.000185,0.464415
2.200000,2.914213,4.667512,-0.163012,-2.143512,1.345110,-0.333817,0.874704,0.000528,0.000141,0.484657
2.300000,2.696856,4.797017,-0.193805,-2.202646,1.244884,-0.279472,0.863333,0.000599,0.000095,0.504635
2.400000,2.473839,4.916351,-0.218706,-2.256786,1.141902,-0.216583,0.851497,0.000682,0.000045,0.524358
2.500000,2.245618,5.025246,-0.236951,-2.306872,1.036625,-0.146907,0.839211,0.000764,-0.000002,0.543805
2.600000,2.012627,5.123479,-0.247981,-2.352133,0.928943,-0.073126,0.826480,0.000850,-0.000044,0.562965
2.700000,1.775381,5.210814,-0.251489,-2.392224,0.819127,0.002967,0.813308,0.000925,-0.000086,0.581833
2.800000,1.534390,5.287089,-0.247370,-2.427082,0.708189,0.078893,0.799707,0.000997,-0.000106,0.600390
2.900000,1.290188,5.352211,-0.235719,-2.456423,0.595732,0.152943,0.785695,0.001092,-0.000167,0.618614
3.000000,1.043300,5.405966,-0.216879,-2.480812,0.480891,0.222253,0.771253,0.001125,-0.000215,0.636528
3.100000,0.794247,5.448170,-0.191460,-2.500095,0.365129,0.284436,0.756413,0.001174,-0.000266,0.654093
3.200000,0.543525,5.478809,-0.160179,-2.514747,0.248983,0.338756,0.741140,0.001214,-0.000288,0.671349
3.300000,0.291592,5.497793,-0.123991,-2.524255,0.132106,0.382340,0.725492,0.001245,-0.000284,0.688229
3.400000,0.038984,5.505082,-0.084025,-2.528158,0.014974,0.414160,0.709483,0.001250,-0.000296,0.704722
3.500000,-0.213800,5.500656,-0.041470,-2.527313,-0.102604,0.433919,0.693083,0.001241,-0.000318,0.720856
3.600000,-0.466196,5.484494,0.002374,-2.520466,-0.219421,0.440091,0.676343,0.001225,-0.000321,0.736586
3.700000,-0.717612,5.456676,0.046163,-2.507969,-0.335188,0.432604,0.659241,0.001224,-0.000328,0.751930
3.800000,-0.967529,5.417308,0.088564,-2.490450,-0.450436,0.412580,0.641762,0.001215,-0.000328,0.766903
3.900000,-1.215384,5.366471,0.128337,-2.467362,-0.564519,0.380154,0.623952,0.001163,-0.000334,0.781461
4.000000,-1.460657,5.304285,0.164253,-2.438838,-0.677281,0.335774,0.605820,0.001131,-0.000320,0.795601
4.100000,-1.702894,5.230884,0.195216,-2.406240,-0.788738,0.281622,0.587357,0.001091,-0.000297,0.809327
4.200000,-1.941599,5.146435,0.220328,-2.368253,-0.898227,0.219493,0.568602,0.001073,-0.000236,0.822612
4.300000,-2.176257,5.051152,0.238817,-2.325054,-1.005657,0.149423,0.549543,0.001060,-0.000173,0.835465
4.400000,-2.406372,4.945249,0.250059,-2.277350,-1.110860,0.075056,0.530190,0.001044,-0.000143,0.847878
4.500000,-2.631465,4.828942,0.253749,-2.224168,-1.213739,-0.001131,0.510557,0.001017,-0.000117,0.859843
4.600000,-2.850996,4.702480,0.249802,-2.166640,-1.313921,-0.077432,0.490658,0.001022,-0.000074,0.871352
4.700000,-3.064529,4.566161,0.238338,-2.103876,-1.411327,-0.151197,0.470485,0.000991,-0.000070,0.882407
4.800000,-3.271542,4.420235,0.219654,-2.036462,-1.505873,-0.220829,0.450060,0.001001,-0.000076,0.892998
4.900000,-3.471616,4.264994,0.194372,-1.965174,-1.597638,-0.283421,0.429387,0.000995,-0.000064,0.903120
5.000000,-3.664357,4.100773,0.163220,-1.890253,-1.685831,-0.337413,0.408492,0.000995,-0.000072,0.912761
5.100000,-3.849399,3.927875,0.127169,-1.811207,-1.771106,-0.381274,0.387372,0.001002,-0.000080,0.921923
5.200000,-4.026322,3.746664,0.087305,-1.728369,-1.852194,-0.413294,0.366061,0.001027,-0.000064,0.930590
5.300000,-4.194781,3.557490,0.044900,-1.641497,-1.929875,-0.432046,0.344557,0.001052,-0.000075,0.938765
5.400000,-4.354374,3.360750,0.001227,-1.551067,-2.003640,-0.438338,0.322871,0.001107,-0.000075,0.946442
5.500000,-4.504770,3.156855,-0.042404,-1.457630,-2.072827,-0.431182,0.301022,0.001153,-0.000073,0.953616
5.600000,-4.645633,2.946245,-0.084675,-1.360426,-2.137802,-0.411276,0.279026,0.001241,-0.000060,0.960283
5.700000,-4.776627,2.729389,-0.124317,-1.260732,-2.197958,-0.378439,0.256863,0.001332,-0.000015,0.966447
5.800000,-4.897478,2.506761,-0.160062,-1.158272,-2.253503,-0.334138,0.234567,0.001432,0.000005,0.972099
5.900000,-5.007961,2.278795,-0.190870,-1.053488,-2.304587,-0.279486,0.212163,0.001560,0.000019,0.977233
