timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494088,0.252948,0.043641,-0.117063,2.528032,0.431375,0.999733,0.000138,-0.000312,0.023093
0.200000,5.476486,0.505396,0.086010,-0.233744,2.520526,0.412506,0.998937,0.000212,-0.000367,0.046099
0.300000,5.447245,0.756793,0.125805,-0.349913,2.507440,0.380536,0.997612,0.000237,-0.000400,0.069064
0.400000,5.406480,1.006653,0.161819,-0.464602,2.489391,0.337327,0.995758,0.000280,-0.000374,0.092006
0.500000,5.354283,1.254431,0.192965,-0.578405,2.465834,0.283768,0.993378,0.000334,-0.000323,0.114889
0.600000,5.290770,1.499582,0.218309,-0.691189,2.436928,0.221500,0.990473,0.000352,-0.000298,0.137706
0.700000,5.216049,1.741596,0.237062,-0.802382,2.402925,0.152541,0.987047,0.000398,-0.000255,0.160433
0.800000,5.130267,1.979927,0.248644,-0.912776,2.363210,0.078602,0.983096,0.000421,-0.000244,0.183088
0.900000,5.033614,2.214060,0.252712,-1.019666,2.318814,0.002714,0.978629,0.000454,-0.000216,0.205635
1.000000,4.926355,2.443491,0.249147,-1.125100,2.269396,-0.073387,0.973641,0.000473,-0.000192,0.228084
1.100000,4.808683,2.667756,0.238082,-1.227494,2.215123,-0.146653,0.968141,0.000487,-0.000177,0.250407
1.200000,4.680869,2.886380,0.219894,-1.327928,2.156729,-0.215583,0.962125,0.000486,-0.000142,0.272607
1.300000,4.543157,3.098879,0.195129,-1.425212,2.092910,-0.277431,0.955598,0.000476,-0.000124,0.294673
1.400000,4.395856,3.304811,0.164568,-1.519896,2.024919,-0.331337,0.948574,0.000477,-0.000095,0.316554
1.500000,4.239262,3.503718,0.129123,-1.611341,1.952554,-0.374671,0.941043,0.000444,-0.000093,0.338286
1.600000,4.073673,3.695174,0.089891,-1.699277,1.876123,-0.406855,0.933012,0.000429,-0.000077,0.359844
1.700000,3.899493,3.878767,0.048087,-1.783351,1.795439,-0.426533,0.924490,0.000396,-0.000083,0.381207
1.800000,3.717113,4.054129,0.004930,-1.863338,1.711252,-0.433448,0.915479,0.000374,-0.000087,0.402366
1.900000,3.526866,4.220906,-0.038286,-1.940370,1.624050,-0.427863,0.905980,0.000321,-0.000079,0.423320
2.000000,3.329166,4.378773,-0.080205,-2.012653,1.532846,-0.408123,0.895991,0.000279,-0.000098,0.444073
2.100000,3.124442,4.527383,-0.119552,-2.080952,1.438585,-0.376541,0.885538,0.000253,-0.000114,0.464566
